School Type,academic_yr,sum,mean,std,max,min
Foreign-For-Profit,2014_2015,0.0,0.0,0.0,0.0,0.0
Foreign-For-Profit,2015_2016,0.0,0.0,0.0,0.0,0.0
Foreign-For-Profit,2016_2017,0.0,0.0,0.0,0.0,0.0
Foreign-For-Profit,2017_2018,0.0,,,,
Foreign-For-Profit,2018-2019,0.0,,,,
Foreign-For-Profit,2019-2020,0.0,,,,
Foreign-For-Profit,2020-2021,0.0,,,,
Foreign-For-Profit,2021-2022,0.0,,,,
Foreign-For-Profit,2022-2023,0.0,,,,
Foreign-For-Profit,2023-2024,0.0,,,,
Foreign-For-Profit,2024-2025,0.0,,,,
Foreign-Private,2014_2015,5966610.0,24655.413223140495,55281.95495596958,344416.0,0.0
Foreign-Private,2015_2016,4808772.0,20727.46551724138,45822.894079455386,271943.0,0.0
Foreign-Private,2016_2017,5010643.0,21880.53711790393,46528.970018732376,266811.0,0.0
Foreign-Private,2017_2018,5057400.0,37741.79104477612,55069.45727604197,263244.0,920.0
Foreign-Private,2018-2019,4891158.0,31760.766233766233,50362.24627840218,263545.0,40.0
Foreign-Private,2019-2020,16046959.0,21922.07513661202,42813.54391174587,488650.0,201.0
Foreign-Private,2020-2021,14527472.0,20932.956772334295,37835.40281222727,409764.0,356.0
Foreign-Private,2021-2022,15283119.0,21895.585959885386,41299.57647212228,448503.0,206.0
Foreign-Private,2022-2023,15307563.0,22949.869565217392,42823.20300372187,468451.0,68.0
Foreign-Private,2023-2024,15971975.0,24090.460030165912,44751.84315424278,476756.0,545.0
Foreign-Private,2024-2025,14170111.0,23229.690163934425,42204.136358235846,435745.0,666.0
Foreign-Public,2014_2015,9114373.0,9604.186512118018,39460.885076718216,770161.0,0.0
Foreign-Public,2015_2016,9515914.0,10016.75157894737,39000.302254636124,746065.0,0.0
Foreign-Public,2016_2017,10283930.0,10712.427083333334,38123.28920629866,694928.0,0.0
Foreign-Public,2017_2018,11326766.0,19068.62962962963,44365.63092625701,606364.0,917.0
Foreign-Public,2018-2019,12071720.0,20119.533333333333,44158.41412965705,544918.0,250.0
Foreign-Public,2019-2020,221807.0,17062.076923076922,18003.76872797072,65290.0,1750.0
Foreign-Public,2020-2021,238509.0,21682.636363636364,20077.371886144498,71327.0,4000.0
Foreign-Public,2021-2022,283539.0,23628.25,22673.76079053415,84036.0,1750.0
Foreign-Public,2022-2023,255677.0,19667.46153846154,18443.26057857533,62674.0,1750.0
Foreign-Public,2023-2024,207761.0,18887.363636363636,24906.302528768607,83184.0,1833.0
Foreign-Public,2024-2025,142823.0,14282.3,14974.485025832737,43293.0,2250.0
Private-Nonprofit,2014_2015,6075686379.0,983120.7733009709,2208163.8059754577,45351554.0,0.0
Private-Nonprofit,2015_2016,5918167462.0,957787.257161353,2250554.5050729997,43651850.0,0.0
Private-Nonprofit,2016_2017,5791809707.0,941145.5487487813,2286705.9986998774,51452456.0,0.0
Private-Nonprofit,2017_2018,5747401940.0,1103783.741117726,2736672.3546458166,79879015.0,162.0
Private-Nonprofit,2018-2019,5542892767.0,1078803.5747372517,2797930.206461695,89753227.0,18.0
Private-Nonprofit,2019-2020,5269267282.0,1036441.243509048,3354536.2009044737,165282661.0,202.0
Private-Nonprofit,2020-2021,4692026350.0,934294.3747510952,3262783.203465127,173256193.0,500.0
Private-Nonprofit,2021-2022,4441284715.0,892182.5462032945,3422157.701522095,188869746.0,226.0
Private-Nonprofit,2022-2023,4318501377.0,873483.2882281553,3918450.958604926,220400888.0,258.0
Private-Nonprofit,2023-2024,4282566604.0,878835.7488200287,3231791.958011177,126507068.0,23.0
Private-Nonprofit,2024-2025,4258600722.0,894476.1020793951,4268324.554220852,200386821.0,200.0
Proprietary,2014_2015,4664498990.0,624849.1614199599,4442304.672516747,250957968.0,0.0
Proprietary,2015_2016,3976131563.0,546772.7671892189,3415772.5372563493,171269033.0,0.0
Proprietary,2016_2017,3227135294.0,462804.43051771115,2743501.246332884,124281405.0,0.0
Proprietary,2017_2018,3000289019.0,455348.15890119894,2630425.541043641,110608484.0,155.0
Proprietary,2018-2019,2846855146.0,452744.1389949109,2624213.594935501,91488748.0,136.0
Proprietary,2019-2020,2871372836.0,473980.3294816771,2850084.2899188483,92507998.0,72.0
Proprietary,2020-2021,2842736490.0,482064.8617941326,2730764.1742079775,76788091.0,75.0
Proprietary,2021-2022,2861329712.0,492738.0251420699,2697721.18764166,79386079.0,310.0
Proprietary,2022-2023,2969613721.0,521900.4782073814,2907787.511800976,92605410.0,324.0
Proprietary,2023-2024,3152356255.0,564634.8298405875,3106045.846424347,92570741.0,250.0
Proprietary,2024-2025,3335531690.0,614844.5511520738,3511324.861200648,125323442.0,60.0
Public,2014_2015,13906457654.0,2373115.6406143345,4622765.520332387,74569577.0,0.0
Public,2015_2016,13046230594.0,2232796.6103029265,4483856.947289323,73537351.0,0.0
Public,2016_2017,12618760033.0,2158159.745681546,4435516.142698872,73979898.0,0.0
Public,2017_2018,12143125490.0,2106718.509715475,4367744.550542345,72343825.0,128.0
Public,2018-2019,11409187639.0,1989396.2753269398,4181934.476065934,69465773.0,92.0
Public,2019-2020,10684899576.0,1860508.3712345464,4037059.4978036154,71910114.0,500.0
Public,2020-2021,9007828589.0,1580875.4982449983,3549579.8120540273,75731392.0,592.0
Public,2021-2022,8388265513.0,1473693.8708713984,3312725.973600648,60945442.0,127.0
Public,2022-2023,8127217267.0,1431352.1076083127,3173201.5565761537,60371643.0,354.0
Public,2023-2024,8204518619.0,1442172.3710669714,3179842.675074404,66174716.0,116.0
Public,2024-2025,7830611488.0,1379114.3867559,3038764.589663383,67925655.0,515.0
